fips	low_birthweight_percentage	food_environment	physical_exercise_opportunities	teen_births	limited_healthy_access	stis	uninsured	primarycare_ratio	dentist_ratio	mentalhealth_ratio	otherproviders_ratio	HS_completion	some_college	disconnected_youth	unemployment	income_inequality	children_freelunches	single_parent_households	social_associations	water_violations	high_housing_costs	housing_overcrowding	segregation_black_white	segregation_nonwhite_white	homeownership	severe_ownership_cost	smoke_perc	obesity_perc	inactive_perc	drinking_perc	Food_Insecure_perc	preventable_hospitalization	mammogram_perc	flu_vaccine_perc	children_poverty_percent	median_income	Violent_crime	air_pollution	drive_alone_perc	long_commute_perc	traffic_volume
01003	0.0834500318268619	8	0.737135489534469	0.0278806922102894	0.054244265969879	0.00324980717497225	0.113334044672073	1371.7935484	2018.7222222	1038.2	1787.0655738	0.863615768010875	0.67371619818081	0.0847679452330615	0.036153821564428	4.41776667855869	0.484865647221698	0.241396014532643	0.00102056173222718	0	0.1227738802	0.0127079175	41.271762768	31.825343231	0.736193431863855	0.117258079538046	0.17	0.31	0.27	0.18	0.12	4041	0.43	0.44	0.14	57588	204	10.3	0.84	0.42	87
01005	0.114745586708204	5.6	0.531667698583239	0.0408708153624974	0.107396665731872	0.00716264345073209	0.12242792457156	3158.75	2764.5555556	12440.5	1913.9230769	0.814102564102564	0.348576486207405	0.133393017009848	0.051713842111549	5.68141001855288	0.632923020393166	0.566034260453122	7.5187969924812e-4	0	0.1344594595	0.0168859649	25.039132349	23.449712509	0.613977792292619	0.140595463137996	0.22	0.42	0.24	0.13	0.22	6209	0.45	0.37	0.44	34382	414	11.5	0.83	0.32	102
01009	0.0760456273764259	8.4	0.156344858867451	0.0335345953002611	0.0288014982327902	0.0023443021391757	0.133607594936709	4462.5384615	5258.1818182	6426.6666667	4449.2307692	0.934687953555878	0.533610732477222	0.189415940626008	0.0351115732224266	4.4302623315136	0.529062870699881	0.285618279569893	8.4463827073242e-4	0	0.0785144566	0.018913676	48.214822884	17.694494741	0.78626213592233	0.0846225729415429	0.19	0.34	0.3	0.14	0.11	4060	0.34	0.39	0.18	50412	483	11.7	0.86	0.59	33
01015	0.0916137366777909	6.9	0.477212158013696	0.033534616991379	0.0917856658317309	0.00654591730004881	0.119291675235693	1571.6164384	1705.6268657	865.73484848	1785.578125	0.923680456490728	0.592439886355762	0.0669115298626637	0.046528321587053	5.0238964487222	0.5883759321455	0.40191944745613	0.00144690049508402	0	0.1182493249	0.0154204571	44.542304124	40.68118287	0.694734972131548	0.117224322180223	0.21	0.39	0.32	0.14	0.16	6581	0.32	0.38	0.27	45400	756	11.8	0.85	0.31	110
01017	0.122137404580153	6.4	0.61864679234254	0.0454410011918951	0.103285582811632	0.00611040251535016	0.11938076808574	2408.0714286	5602.5	16807.5	6723	0.862385321100918	0.484603340292276	0.115507338864071	0.0390809112333072	4.74493213467301	0.711213517665131	0.465554436933698	0.00177972888796607	0	0.1237707948	0.0403610108	26.747861297	25.672844447	0.677641313998224	0.123810279187817	0.19	0.4	0.3	0.13	0.18	5622	0.38	0.42	0.31	39917	529	11.4	0.85	0.32	20
01025	0.131080389144905	5.4	0.252700034839159	0.0392124692370796	0.111547123024813	0.00643607523979571	0.119263662911973	1852.5384615	3417.1428571	1407.0588235	1594.6666667	0.909090909090909	0.382299601015597	0.123766135155657	0.0747344958699358	8.46898263027295	0.715429791777897	0.370127436281859	0.00161939957646473	0	0.1113174695	0.0150706436	21.364751394	19.663559978	0.674716819833298	0.128364389233954	0.21	0.34	0.35	0.12	0.23	6299	0.38	0.28	0.32	40741	475	10.4	0.88	0.35	66
01031	0.083085374227512	7.5	0.537238728277409	0.0260462652304432	0.0598120313946504	0.00584107645448587	0.119923665898671	1852.6428571	2883.8333333	1526.7352941	1441.9166667	0.925170068027211	0.637709623810243	0.0689243027888446	0.0394869577748955	4.65877263402016	0.483766562152321	0.358318854968148	0.00146508848363342	0	0.1050299713	0.0139354839	37.921112635	29.59042195	0.647935721865683	0.0945766845146583	0.17	0.34	0.31	0.15	0.14	4863	0.42	0.37	0.22	55122	276	10.9	0.87	0.27	58
01033	0.102267468764461	7.4	0.557323436466525	0.0329817661780479	0.0655170453516572	0.00526605504587156	0.0968386252496728	1557.1428571	2190.48	2882.2105263	693.18987342	0.921367521367521	0.546654389195826	0.0764053840063341	0.0461776593000258	4.75820091570159	0.519216555801922	0.360547755243543	0.00168807339449541	0	0.1275395551	0.0067857951	28.034038885	24.168040449	0.727051699619249	0.117630057803468	0.19	0.31	0.37	0.15	0.15	6414	0.4	0.45	0.21	49055	400	10.7	0.9	0.28	81
01039	0.103459424506951	7.6	0.502343439692837	0.0468665586169638	0.0437032675122468	0.00512239836083253	0.121036176864672	1952.2105263	2641.8571429	1541.0833333	1275.3793103	0.949029126213592	0.536105815061964	0.0852904820766378	0.0457834411218544	4.91633070406077	0.567079127320091	0.36344301263605694	0.00126711959452173	0	0.1036687984	0.0158102767	41.682563872	39.087432192	0.740271855010661	0.100121402556595	0.19	0.32	0.36	0.14	0.15	9181	0.42	0.39	0.3	40203	331	10.5	0.88	0.29	42
01043	0.0832852193995381	8.2	0.41653607939706	0.0417282345292275	0.0310960624978235	0.00233218536644312	0.126582467678051	1799.0217391	2035.1707317	738.42477876	1158.9166667	0.90519877675841	0.503784899724735	0.101646937725167	0.0328046523922813	4.435584708414471	0.507733375206093	0.254175308372448	0.00117213461422271	0	0.1014420686	0.0175353925	83.563356972	24.178496341	0.745818418483567	0.0994137847306532	0.18	0.37	0.37	0.15	0.12	6442	0.44	0.41	0.2	45796	129	11.6	0.88	0.33	51
